,avg_ratings,all_ratings,actual_price,with_discount,reviews
338,4.6,"46,334 Ratings","₹79,900","₹69,999"," 2,580 Reviews"
339,4.6,"46,334 Ratings","₹79,900","₹69,999"," 2,580 Reviews"
340,4.6,"2,64,591 Ratings","₹69,900","₹64,900"," 9,414 Reviews"
341,4.6,"2,64,591 Ratings","₹69,900","₹64,900"," 9,414 Reviews"
342,4.6,"2,64,591 Ratings","₹69,900","₹64,900"," 9,414 Reviews"
343,4.6,"2,64,591 Ratings","₹99,900","₹94,900"," 9,414 Reviews"
344,5,7 Ratings,"₹19,999","₹16,991", 1 Reviews
345,,,"₹16,999","₹15,999",
346,4.6,"2,64,591 Ratings","₹79,900","₹74,900"," 9,414 Reviews"
347,4.6,"46,334 Ratings","₹1,09,900","₹1,02,999"," 2,580 Reviews"
348,4.6,"46,334 Ratings","₹1,09,900","₹1,02,999"," 2,580 Reviews"
349,4.2,"44,780 Ratings","₹17,999","₹12,499"," 2,276 Reviews"
350,4,19 Ratings,"₹19,999","₹12,622", 0 Reviews
351,4.2,"44,780 Ratings","₹17,999","₹12,499"," 2,276 Reviews"
352,4,455 Ratings,"₹7,665","₹6,990", 22 Reviews
353,4.3,"2,033 Ratings","₹19,999","₹15,544", 96 Reviews
354,4.2,"11,404 Ratings","₹19,999","₹13,999", 640 Reviews
355,4.2,"11,404 Ratings","₹19,999","₹13,999", 640 Reviews
356,4,190 Ratings,"₹6,699","₹6,397", 11 Reviews
357,4.3,"2,033 Ratings","₹19,999","₹16,987", 96 Reviews
358,4.6,"2,237 Ratings","₹80,999","₹74,999", 278 Reviews
359,4.3,"4,174 Ratings","₹21,999","₹16,990", 241 Reviews
360,4.6,"19,106 Ratings","₹89,900","₹84,900", 793 Reviews
361,4.6,"19,106 Ratings","₹79,900","₹74,900", 793 Reviews
362,4.6,"19,106 Ratings","₹89,900","₹84,900", 793 Reviews
363,4.6,"19,106 Ratings","₹1,09,900","₹1,04,900", 793 Reviews
364,4.6,"19,106 Ratings","₹1,09,900","₹1,04,900", 793 Reviews
365,4.6,61 Ratings,"₹1,50,000","₹1,25,000", 4 Reviews
366,,,"₹5,999","₹4,400",
367,4.6,25 Ratings,"₹1,59,999","₹1,49,999", 3 Reviews
368,,,"₹5,999","₹4,400",
369,4.2,"84,327 Ratings","₹21,999","₹16,999"," 7,308 Reviews"
370,4.2,"84,327 Ratings","₹21,999","₹16,999"," 7,308 Reviews"
371,4.2,"2,674 Ratings","₹18,999","₹14,499", 173 Reviews
372,4.6,"3,504 Ratings","₹99,900","₹94,900", 189 Reviews
373,4.5,"1,556 Ratings","₹59,900","₹54,900", 106 Reviews
374,4.6,"3,504 Ratings","₹99,900","₹94,900", 189 Reviews
375,4.6,"19,106 Ratings","₹79,900","₹74,900", 793 Reviews
376,4.1,"3,493 Ratings","₹15,999","₹11,499", 216 Reviews
377,4.1,497 Ratings,"₹7,199","₹5,999", 25 Reviews
378,4.1,"3,797 Ratings",,"₹6,500", 396 Reviews
379,4.6,"19,106 Ratings","₹79,900","₹74,900", 793 Reviews
380,4.6,"19,106 Ratings","₹79,900","₹74,900", 793 Reviews
381,4.6,"3,504 Ratings","₹1,19,900","₹1,14,900", 189 Reviews
382,4.6,"3,504 Ratings","₹1,19,900","₹1,14,900", 189 Reviews
383,4.6,"3,504 Ratings","₹1,19,900","₹1,14,900", 189 Reviews
384,4.2,16 Ratings,"₹21,999","₹18,999", 1 Reviews
385,,,,"₹1,89,900",
386,,,,"₹2,29,900",
387,,,,"₹2,29,900",
388,4.5,"8,595 Ratings",,"₹27,990", 763 Reviews
389,,,,"₹1,89,900",
390,4.2,"2,607 Ratings","₹9,999","₹7,499", 145 Reviews
391,4.1,"50,281 Ratings","₹16,999","₹7,499"," 8,226 Reviews"
392,,,"₹16,499","₹14,499",
393,,,"₹16,499","₹14,499",
394,4.2,"3,104 Ratings","₹7,299","₹6,540", 113 Reviews
395,,,"₹17,999","₹15,999",
396,4.2,16 Ratings,"₹21,999","₹18,999", 1 Reviews
397,3.9,"13,788 Ratings",,"₹3,939"," 1,591 Reviews"
398,,,,"₹1,34,900",
399,4,22 Ratings,"₹26,499","₹23,499", 1 Reviews
400,,,,"₹1,49,900",
401,3.3,230 Ratings,,"₹9,999", 20 Reviews
402,4.5,"16,326 Ratings","₹12,999","₹8,499", 384 Reviews
403,,,,"₹1,02,900",
404,4,690 Ratings,"₹6,499","₹6,344", 51 Reviews
405,4.2,351 Ratings,"₹10,999","₹7,499", 19 Reviews
406,4.3,871 Ratings,,"₹12,999", 75 Reviews
407,,,,"₹1,54,900",
408,4,"6,332 Ratings",,"₹8,499", 788 Reviews
409,4,"1,485 Ratings",,"₹8,499", 124 Reviews
410,4.5,"4,68,338 Ratings",,"₹9,990"," 48,572 Reviews"
411,4.1,762 Ratings,"₹13,999","₹9,159", 28 Reviews
412,,,₹799,₹200,
413,4.1,762 Ratings,"₹13,999","₹9,676", 28 Reviews
414,,,₹799,₹199,
415,3.9,381 Ratings,"₹1,399","₹1,395", 16 Reviews
416,4.1,"1,681 Ratings","₹13,999","₹11,999", 62 Reviews
